Module Name* (in netlist),Type,synopsys memory type,config boundary reference,Word Number,Bit Number,Bit-write,Memory C-Q delay,Max Operating Freq,power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,2-cycle latency,Instance Name,"Instance Number",Total Bits
H264_RF_1P_128X32PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,128,32,FALSE,0.7,1429,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_128x32,2,8192
H264_RF_1P_128X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,128,64,FALSE,0.785,1274,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_128x64,1,8192
H264_RF_1P_140X128B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,140,128,TRUE,0.904,1106,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_140x128B1,1,17920
H264_RF_1P_144X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,144,64,FALSE,0.764,1309,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_144x64,1,9216
H264_RF_1P_160X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,160,64,FALSE,0.769,1300,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_160x64,1,10240
H264_RF_1P_256X41PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,256,41,FALSE,0.752,1330,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_256x41,1,10496
H264_RF_1P_28X208B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,28,208,TRUE,,,TRUE,1,1,TRUE,HIGH,FALSE,FALSE,,3,17472
H264_RF_1P_28X128B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,28,128,TRUE,0.668,1497,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_28x128B1,2,7168
H264_RF_1P_32X128B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,32,128,TRUE,,,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_32x128,1,4096
H264_RF_1P_32X32B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,32,32,TRUE,0.674,1420,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_32x32B1,1,1024
H264_RF_1P_384X64B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,384,64,TRUE,0.939,1065,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_384x64B1,1,24576
H264_RF_1P_48X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,48,64,FALSE,0.677,1477,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_48x64,2,6144
H264_RF_1P_640X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,640,64,FALSE,1.067,937,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_640x64,2,81920
H264_RF_1P_64X32PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,64,32,FALSE,0.681,1468,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_64x32,2,4096
H264_RF_1P_64X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,64,64,FALSE,0.681,1468,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_64x64,1,4096
H264_RF_1P_768X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,768,64,FALSE,1.105,905,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_768x64,2,98304
H264_RF_1P_88X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,88,64,FALSE,0.743,1346,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_88x64,1,5632
H264_RF_1P_96X32PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,96,32,FALSE,0.701,1427,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_96x32,1,3072
H264_RF_1P_96X64PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,96,64,FALSE,0.751,1332,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_96x64,1,6144
H264_RF_1P_96X88B1PG,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,96,88,TRUE,0.776,1289,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_1P_96x88B1,1,8448
H264_SR_1P_1152X12PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,1152,12,FALSE,0.729,1372,TRUE,8,4,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_1152x12,1,13824
H264_SR_1P_12288X16PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,12288,16,FALSE,1.03,971,TRUE,16,8,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_12288x16,1,196608
H264_SR_1P_256X128PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,256,128,FALSE,1.014,986,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_256x128,1,32768
H264_SR_1P_256X16PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,256,16,FALSE,0.645,1550,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_256x16,1,4096
H264_SR_1P_256X32PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,256,32,FALSE,0.659,1517,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_256x32,1,8192
H264_SR_1P_272X128PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,272,128,FALSE,1.047,955,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_272x128,1,34816
H264_SR_1P_288X40PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,288,40,FALSE,0.721,1387,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_288x40,1,11520
H264_SR_1P_320X64B1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,320,64,TRUE,0.799,1252,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_320x64B1,1,20480
H264_SR_1P_384X16PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,384,16,FALSE,0.686,1458,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_384x16,3,18432
H264_SR_1P_4096X16PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,4096,16,FALSE,0.841,1189,TRUE,16,8,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_4096x16,1,65536
H264_SR_1P_448X128PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,448,128,FALSE,1.067,937,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_448x128,2,114688
H264_SR_1P_768X128PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,768,128,FALSE,1.204,831,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_768x128,1,98304
H264_SR_1P_96X128PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,96,128,FALSE,1,1000,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_SR_1P_96x128,1,12288
H264_SR_1P_6400X128B1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,6400,128,TRUE,,,TRUE,4,8,FALSE,HIGH,FALSE,FALSE,,2,1638400
H264_SR_1P_4352X128B1PG,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,4352,128,TRUE,,,TRUE,4,8,FALSE,HIGH,FALSE,FALSE,,0,0
H264_RF_2P_128X18PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,128,18,FALSE,1.033,968,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_128x18,1,2304
H264_RF_2P_128X21PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,128,21,FALSE,0.692,1445,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_128x21,1,2688
H264_RF_2P_128X48PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,128,48,FALSE,1.104,906,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_128x48,1,6144
H264_RF_2P_160X128PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,160,128,FALSE,0.983,1017,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_160x128,1,20480
H264_RF_2P_192X40PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,192,40,FALSE,1.036,965,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_192x40,1,7680
H264_RF_2P_192X72B1PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,192,72,TRUE,1.102,907,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_192x72B1,1,13824
H264_RF_2P_256X32PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,256,32,FALSE,1.086,921,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_256x32,1,8192
H264_RF_2P_256X64PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,256,64,FALSE,1.151,869,TRUE,2,2,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_256x64,2,32768
H264_RF_2P_28X208PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,28,208,,,,TRUE,1,1,TRUE,HIGH,FALSE,FALSE,,3,17472
H264_RF_2P_288X64PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,288,64,FALSE,1.076,929,TRUE,2,4,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_288x64,1,18432
H264_RF_2P_32X64PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,32,64,FALSE,0.667,1499,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_32x64,2,4096
H264_RF_2P_32X64B1PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,32,64,TRUE,,,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_32x64,1,2048
H264_RF_2P_32X72B1PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,32,72,TRUE,0.656,1524,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_32x72B1,1,2304
H264_RF_2P_32X82PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,32,82,FALSE,0.809,1236,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_32x82,2,5248
H264_RF_2P_48X64PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,48,64,FALSE,1.005,995,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_48x64,2,6144
H264_RF_2P_512X64PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,512,64,FALSE,1.224,817,TRUE,2,4,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_512x64,2,65536
H264_RF_2P_576X72B1PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,576,36,TRUE,1.096,912,TRUE,4,4,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_576x36B1,1,20736
H264_RF_2P_64X64PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,64,64,FALSE,1.101,908,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_64x64,2,8192
H264_RF_2P_64X64B1PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,64,64,TRUE,1.101,908,TRUE,1,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_64x64B1,4,16384
H264_RF_2P_96X64PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,96,64,FALSE,1.067,937,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,U0_H264_RF_2P_96x64,1,6144
h264_RF_2P_96X64B1PG,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,96,64,TRUE,1.067,937,TRUE,2,1,FALSE,HIGH,FALSE,FALSE,,2,12288
H264_RF_1P_640X128B1PG,,ts28nzh41p11sad2l02ms,,640,128,TRUE,,,TRUE,4,2,FALSE,HIGH,FALSE,FALSE,,,
H264_SR_1P_512X128B1PG,,ts28nzh41p11sad2l02ms,,512,128,TRUE,,,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,,,
H264_SR_1P_1024X128B1PG,,ts28nzh41p11sad2l02ms,,1024,128,TRUE,,,TRUE,4,1,FALSE,HIGH,FALSE,FALSE,,,
H264_SR_1P_6656X128B1PG,,ts28nzh41p11sad2l02ms,,6656,128,TRUE,,,TRUE,4,8,FALSE,HIGH,FALSE,FALSE,,,
